block_size,level,regular,dict,uncompressed,block_count
1,1,11438090,11297004,242911744,232
1,2,10989756,10910774,242911744,232
1,3,10716230,10443629,242911744,232
1,4,10708242,10429834,242911744,232
1,5,10138946,9849675,242911744,232
1,6,9746160,9446979,242911744,232
1,7,9317345,9007359,242911744,232
1,8,9045344,8727084,242911744,232
1,9,8869696,8547676,242911744,232
1,10,8856643,8530884,242911744,232
1,11,8856643,8530577,242911744,232
1,12,8747621,8417763,242911744,232
1,13,8594202,8260981,242911744,232
1,14,8594202,8260642,242911744,232
1,15,8563226,8227592,242911744,232
1,16,8586260,8240288,242911744,232
1,17,8442354,8093949,242911744,232
1,18,8471994,8124185,242911744,232
1,19,8026624,7681645,242911744,232
2,1,11043469,10967915,242911744,116
2,2,10387643,10353487,242911744,116
2,3,9889012,9719462,242911744,116
2,4,9877046,9706183,242911744,116
2,5,9384586,9207793,242911744,116
2,6,8980130,8797268,242911744,116
2,7,8547176,8359504,242911744,116
2,8,8263887,8071023,242911744,116
2,9,8089140,7893620,242911744,116
2,10,8053586,7856037,242911744,116
2,11,8041378,7840956,242911744,116
2,12,7925545,7723192,242911744,116
2,13,7771731,7569625,242911744,116
2,14,7760096,7554650,242911744,116
2,15,7725005,7518099,242911744,116
2,16,7775215,7561705,242911744,116
2,17,7639389,7424796,242911744,116
2,18,7678006,7463185,242911744,116
2,19,7206593,6993153,242911744,116
4,1,10820135,10787915,242911744,58
4,2,10130083,10119487,242911744,58
4,3,9451188,9364940,242911744,58
4,4,9438061,9353454,242911744,58
4,5,8943280,8851090,242911744,58
4,6,8538408,8441572,242911744,58
4,7,8109204,8013387,242911744,58
4,8,7822380,7725144,242911744,58
4,9,7649191,7550156,242911744,58
4,10,7480022,7354176,242911744,58
4,11,7451726,7324044,242911744,58
4,12,7335138,7206269,242911744,58
4,13,7200718,7072528,242911744,58
4,14,7163881,7032952,242911744,58
4,15,7086511,6952605,242911744,58
4,16,7185970,7051699,242911744,58
4,17,7017297,6880048,242911744,58
4,18,7056996,6919475,242911744,58
4,19,6593804,6455100,242911744,58
8,1,10722594,10703841,242911744,29
8,2,10008231,9994891,242911744,29
8,3,9296612,9245619,242911744,29
8,4,9282175,9230146,242911744,29
8,5,8780541,8727380,242911744,29
8,6,8370076,8313941,242911744,29
8,7,7937295,7887493,242911744,29
8,8,7646421,7597443,242911744,29
8,9,7472469,7422888,242911744,29
8,10,7168138,7103134,242911744,29
8,11,7129869,7064060,242911744,29
8,12,7007243,6940929,242911744,29
8,13,6880322,6814800,242911744,29
8,14,6824698,6757594,242911744,29
8,15,6696898,6628156,242911744,29
8,16,6847039,6778519,242911744,29
8,17,6608211,6520271,242911744,29
8,18,6648444,6558374,242911744,29
8,19,6178063,6084863,242911744,29
16,1,10676740,10669046,242911744,15
16,2,9942104,9939490,242911744,15
16,3,9225248,9198865,242911744,15
16,4,9204858,9179596,242911744,15
16,5,8699304,8670133,242911744,15
16,6,8289080,8258684,242911744,15
16,7,7852971,7830399,242911744,15
16,8,7560136,7540101,242911744,15
16,9,7387121,7366634,242911744,15
16,10,7059274,7029593,242911744,15
16,11,7015557,6985555,242911744,15
16,12,6892822,6862475,242911744,15
16,13,6769375,6739466,242911744,15
16,14,6706907,6676251,242911744,15
16,15,6572416,6540827,242911744,15
16,16,6733295,6702158,242911744,15
16,17,6086631,6044940,242911744,15
16,18,6123341,6080967,242911744,15
16,19,5653018,5608279,242911744,15
32,1,10666869,10655559,242911744,8
32,2,9930394,9921971,242911744,8
32,3,9209279,9186453,242911744,8
32,4,9188533,9166346,242911744,8
32,5,8681097,8656737,242911744,8
32,6,8270661,8245244,242911744,8
32,7,7834392,7820637,242911744,8
32,8,7541760,7530368,242911744,8
32,9,7368963,7357301,242911744,8
32,10,6953602,6937975,242911744,8
32,11,6907842,6892157,242911744,8
32,12,6786568,6770697,242911744,8
32,13,6670393,6654532,242911744,8
32,14,6605928,6589752,242911744,8
32,15,6479408,6462612,242911744,8
32,16,6634384,6618160,242911744,8
32,17,5954284,5935213,242911744,8
32,18,5989252,5969882,242911744,8
32,19,5519313,5498316,242911744,8
